ScaffoldNum	StartPos	EndPos	TRNum	TRSize	CopyNum	TRLength
scaffold7647	63020	63605	PY_TR0000074	48	12,2	585
scaffold7647	64628	64689	PY_TR0000075	3	21	61
scaffold7647	67291	67389	PY_TR0000076	45	2,2	98
scaffold7647	70315	70353	PY_TR0000077	2	19,5	38
scaffold7647	78347	78824	PY_TR0000078	80	6	477
scaffold7647	79525	79550	PY_TR0000079	10	2,6	25
scaffold7647	83834	83865	PY_TR0000080	7	4,6	31
scaffold7647	83899	84673	PY_TR0000082	289	2,7	774
scaffold7647	88544	88863	PY_TR0000083	145	2,2	319
scaffold7647	91802	92262	PY_TR0000086	166	2,8	460
scaffold7647	92757	92899	PY_TR0000087	18	7,9	142
scaffold7647	92760	92899	PY_TR0000088	54	2,6	139
scaffold7647	94110	94966	PY_TR0000089	144	5,9	856
scaffold7647	94998	95312	PY_TR0000090	145	2,2	314
scaffold7647	98245	98277	PY_TR0000091	16	1,9	32
scaffold7647	98505	98570	PY_TR0000092	30	2,2	65
scaffold7647	100551	100616	PY_TR0000093	30	2,2	65
scaffold7647	100872	100937	PY_TR0000094	30	2,2	65
scaffold7647	105672	105704	PY_TR0000095	17	2	32
scaffold7647	106602	107264	PY_TR0000096	50	13,5	662
scaffold7647	106864	106941	PY_TR0000097	21	3,2	77
scaffold7647	106952	107035	PY_TR0000098	39	2,2	83
scaffold7647	106902	107264	PY_TR0000099	89	3,8	362
scaffold7647	106990	107264	PY_TR0000100	149	1,8	274
scaffold7647	107410	108024	PY_TR0000101	145	4,2	614
scaffold7647	108799	109567	PY_TR0000102	49	15,7	768
scaffold7647	111630	111802	PY_TR0000103	39	4,3	172
scaffold7647	113117	113176	PY_TR0000104	31	1,9	59
scaffold7647	113555	113720	PY_TR0000105	68	2,4	165
scaffold7647	114031	114504	PY_TR0000106	42	11,3	473
scaffold7647	115181	115238	PY_TR0000107	19	3,1	57
scaffold7647	116832	117829	PY_TR0000108	37	26,9	997
scaffold7647	118041	118344	PY_TR0000109	42	7,2	303
scaffold7647	119247	119290	PY_TR0000110	22	2,1	43
scaffold7647	119539	120460	PY_TR0000111	16	57,4	921
scaffold7647	119708	120122	PY_TR0000112	32	12,9	414
scaffold7647	119670	120158	PY_TR0000113	64	7,6	488
scaffold7647	119678	120142	PY_TR0000114	96	4,8	464
scaffold7647	119701	120451	PY_TR0000115	128	6	750
scaffold7647	120133	120460	PY_TR0000116	96	3,4	327
scaffold7647	120245	120701	PY_TR0000117	48	9,7	456
scaffold7647	120133	120482	PY_TR0000118	64	5,5	349
scaffold7647	120489	120728	PY_TR0000119	96	2,5	239
scaffold7647	127585	127632	PY_TR0000121	22	2,2	47
scaffold7647	129210	129245	PY_TR0000122	14	2,5	35
scaffold7647	129208	129245	PY_TR0000123	18	2,1	37
scaffold7647	129259	131515	PY_TR0000125	314	7,2	2256
scaffold7647	134266	134294	PY_TR0000127	13	2,1	28
scaffold7647	134269	134310	PY_TR0000128	22	2	41
scaffold7647	134274	136030	PY_TR0000129	121	14,3	1756
scaffold7647	134249	135015	PY_TR0000130	257	3	766
scaffold7647	134841	135999	PY_TR0000131	362	3,2	1158
scaffold7647	136967	137003	PY_TR0000132	19	2	36
scaffold7647	154458	154487	PY_TR0000133	2	15	29
scaffold7647	162678	162904	PY_TR0000134	56	4,1	226
scaffold7647	181767	182440	PY_TR0000135	39	17,4	673
scaffold7647	181816	182440	PY_TR0000136	116	5,4	624
scaffold7647	181874	182440	PY_TR0000137	77	7,3	566
scaffold7647	184733	185849	PY_TR0000138	63	17,7	1116
scaffold7647	196495	196579	PY_TR0000139	17	5,5	84
scaffold7647	196125	196598	PY_TR0000140	30	16,1	473
scaffold7647	199308	204440	PY_TR0000143	93	55,5	5132
scaffold7647	200139	204440	PY_TR0000144	31	138,5	4301
scaffold7647	203836	203872	PY_TR0000145	18	2,1	36
scaffold7647	203808	203903	PY_TR0000146	49	2	95
scaffold7647	203777	203934	PY_TR0000147	80	2	157
scaffold7647	205268	205329	PY_TR0000148	17	3,6	61
scaffold7647	205289	205440	PY_TR0000149	47	3,2	151
scaffold7647	205391	205423	PY_TR0000150	17	1,9	32
scaffold7647	205405	205476	PY_TR0000151	30	2,4	71
scaffold7647	206609	207356	PY_TR0000152	31	24,1	747
scaffold7647	216108	216141	PY_TR0000153	17	2	33
scaffold7647	221737	221828	PY_TR0000154	27	3,4	91
scaffold7647	221786	223423	PY_TR0000155	27	60,7	1637
scaffold7647	223562	223694	PY_TR0000156	40	3,3	132
scaffold7647	223603	223671	PY_TR0000157	13	5,2	68
scaffold7647	223575	223626	PY_TR0000158	27	1,9	51
scaffold7647	225635	227489	PY_TR0000159	35	53,3	1854
scaffold7647	226072	226119	PY_TR0000160	24	2	47
scaffold7647	232446	232551	PY_TR0000161	39	2,7	105
scaffold7647	237188	237407	PY_TR0000162	28	7,8	219
scaffold7647	237524	237780	PY_TR0000163	28	9,2	256
scaffold7647	237499	237810	PY_TR0000164	56	5,6	311
scaffold7647	240319	240632	PY_TR0000165	54	5,8	313
scaffold7647	240321	240632	PY_TR0000166	108	2,9	311
scaffold7647	245560	245605	PY_TR0000167	11	4,2	45
scaffold7647	253199	253607	PY_TR0000168	43	9,5	408
scaffold7647	253153	253607	PY_TR0000169	86	5,3	454
scaffold7647	258989	259041	PY_TR0000170	27	2	52
scaffold7647	260980	261028	PY_TR0000171	25	2	48
scaffold7647	261104	261195	PY_TR0000172	42	2,2	91
scaffold7647	267217	267265	PY_TR0000173	25	2	48
scaffold7647	267341	267432	PY_TR0000174	42	2,2	91
scaffold7647	268834	268982	PY_TR0000175	20	7,4	148
scaffold7647	270901	271088	PY_TR0000176	62	3	187
scaffold7647	271558	271623	PY_TR0000177	3	22	65
scaffold7647	271657	271772	PY_TR0000179	46	2,5	115
scaffold7647	281243	281351	PY_TR0000180	40	2,7	108
scaffold7647	281803	282145	PY_TR0000182	43	8	342
scaffold7647	282645	283042	PY_TR0000184	43	9,3	397
scaffold7647	288292	288877	PY_TR0000186	41	14,3	585
scaffold7647	295447	295941	PY_TR0000188	66	7,8	494
scaffold7647	295565	295653	PY_TR0000189	15	4,9	88
scaffold7647	295576	295664	PY_TR0000190	15	5,5	88
scaffold7647	295476	296153	PY_TR0000191	62	10,4	677
scaffold7647	295746	295781	PY_TR0000192	11	3,3	35
scaffold7647	295900	295951	PY_TR0000193	11	4,3	51
scaffold7647	295757	296115	PY_TR0000194	170	2,1	358
scaffold7647	295858	296053	PY_TR0000195	108	1,8	195
scaffold7647	295938	296150	PY_TR0000197	62	3,3	212
scaffold7647	296104	296209	PY_TR0000198	56	1,9	105
scaffold7647	296538	296592	PY_TR0000199	27	2,1	54
scaffold7647	296499	296824	PY_TR0000200	23	14	325
scaffold7647	296500	296861	PY_TR0000201	23	15,3	361
scaffold7647	296776	296850	PY_TR0000202	27	2,9	74
scaffold7647	297333	297460	PY_TR0000203	22	5,9	127
scaffold7647	297476	297552	PY_TR0000204	22	3,4	76
scaffold7647	308840	308886	PY_TR0000205	23	2	46
scaffold7647	310792	310963	PY_TR0000206	36	4,6	171
scaffold7647	311651	312847	PY_TR0000207	134	8,9	1196
scaffold7647	311857	312935	PY_TR0000208	133	8	1078
scaffold7647	311773	313088	PY_TR0000209	402	3,3	1315
scaffold7647	312729	313213	PY_TR0000210	268	1,8	484
scaffold7647	323203	323469	PY_TR0000211	133	2	266
scaffold7647	330579	330619	PY_TR0000212	16	2,7	40
scaffold7647	332988	333424	PY_TR0000214	156	2,8	436
scaffold7647	333423	333903	PY_TR0000215	52	9,2	480
scaffold7647	333424	333903	PY_TR0000216	208	2,3	479
scaffold7647	333892	335624	PY_TR0000217	52	33,3	1732
scaffold7647	337962	338413	PY_TR0000218	49	9,2	451
scaffold7647	340096	340227	PY_TR0000219	36	3,7	131
scaffold7647	340130	340223	PY_TR0000220	18	5,2	93
scaffold7647	346702	346737	PY_TR0000221	17	2,1	35
scaffold7647	347104	347595	PY_TR0000223	201	2,5	491
scaffold7648	1	952	PY_TR0000225	41	23,1	951
scaffold7648	1	952	PY_TR0000225	41	23,1	951
scaffold7648	594	664	PY_TR0000227	34	2,1	70
scaffold7648	4463	4715	PY_TR0000228	62	4,1	252
scaffold7648	4772	5077	PY_TR0000229	62	4,9	305
scaffold7649	2	952	PY_TR0000231	60	15,8	950
scaffold7649	2	952	PY_TR0000233	120	7,9	950
scaffold7649	13941	14321	PY_TR0000234	189	2	380
scaffold7649	14945	15440	PY_TR0000235	33	15	495
scaffold7649	21199	21739	PY_TR0000236	84	6,4	540
scaffold7649	21200	21739	PY_TR0000237	28	19,2	539
scaffold7649	26526	26944	PY_TR0000238	20	21	418
scaffold7649	27988	28268	PY_TR0000239	145	1,9	280
scaffold7649	28751	30033	PY_TR0000240	128	10	1282
scaffold7649	28750	30033	PY_TR0000241	159	8	1283
scaffold7649	28798	30033	PY_TR0000242	31	38,6	1235
scaffold7649	33161	33434	PY_TR0000243	31	9,1	273
scaffold7649	33137	33459	PY_TR0000244	54	5,7	322
scaffold7649	33116	33409	PY_TR0000245	23	12,7	293
scaffold7649	33347	33459	PY_TR0000246	23	4,6	112
scaffold7649	35080	35411	PY_TR0000248	134	2,5	331
scaffold7649	39197	39404	PY_TR0000249	65	3,2	207
scaffold7649	42273	42304	PY_TR0000250	15	2,1	31
scaffold7649	42917	42974	PY_TR0000251	16	3,6	57
scaffold7649	42904	42981	PY_TR0000252	33	2,4	77
scaffold7649	49028	49076	PY_TR0000253	4	12	48
scaffold7649	49077	49482	PY_TR0000254	4	101	405
scaffold7649	49146	49235	PY_TR0000255	19	5,4	89
scaffold7649	49251	49546	PY_TR0000256	134	2,2	295
scaffold7649	49386	49483	PY_TR0000257	49	2	97
scaffold7649	49545	49848	PY_TR0000258	4	75	303
scaffold7649	49702	49848	PY_TR0000259	41	3,9	146
scaffold7649	49849	50080	PY_TR0000260	4	56,2	231
scaffold7649	49850	50080	PY_TR0000262	25	9,5	230
scaffold7649	50147	50200	PY_TR0000263	4	13,2	53
scaffold7649	50156	50203	PY_TR0000264	25	1,9	47
scaffold7649	50201	50245	PY_TR0000265	4	11	44
scaffold7649	50198	50245	PY_TR0000266	16	2,9	47
scaffold7649	50377	50441	PY_TR0000267	4	16	64
scaffold7649	50323	50530	PY_TR0000268	85	2,4	207
scaffold7649	50479	50526	PY_TR0000269	4	11,8	47
scaffold7649	50525	50672	PY_TR0000270	4	36,8	147
scaffold7649	50590	50647	PY_TR0000272	19	3,4	57
scaffold7649	50577	50659	PY_TR0000273	32	2,6	82
scaffold7649	50717	50835	PY_TR0000274	12	10	118
scaffold7649	50755	50835	PY_TR0000275	4	20,2	80
scaffold7649	52405	53176	PY_TR0000276	35	22	771
scaffold7649	62915	62942	PY_TR0000277	10	2,8	27
scaffold7649	67537	67895	PY_TR0000279	116	3	358
scaffold7649	67540	68509	PY_TR0000280	38	25,2	969
scaffold7649	67897	68509	PY_TR0000281	38	16,1	612
scaffold7649	68742	71354	PY_TR0000282	44	59,6	2612
scaffold7649	69581	69650	PY_TR0000283	22	3,2	69
scaffold7649	71706	73612	PY_TR0000284	36	53	1906
scaffold7649	74153	74448	PY_TR0000285	135	2,2	295
scaffold7649	74380	74990	PY_TR0000286	36	16,9	610
scaffold7649	74663	75059	PY_TR0000287	207	1,9	396
scaffold7649	79293	79374	PY_TR0000288	3	27,3	81
scaffold7649	80414	81732	PY_TR0000289	3	443,3	1318
scaffold7649	82988	83129	PY_TR0000290	54	2,6	141
scaffold7649	88617	88854	PY_TR0000291	82	2,9	237
scaffold7649	91822	91868	PY_TR0000292	13	3,2	46
scaffold7649	92942	93559	PY_TR0000294	64	9,8	617
scaffold7649	93211	93560	PY_TR0000295	92	3,7	349
scaffold7649	93173	93562	PY_TR0000296	32	12,2	389
scaffold7649	97290	97326	PY_TR0000297	14	2,6	36
scaffold7649	97320	99919	PY_TR0000298	27	96,4	2599
scaffold7649	97292	99919	PY_TR0000301	81	32,5	2627
scaffold7649	99648	99699	PY_TR0000302	18	3,2	51
scaffold7649	102516	102738	PY_TR0000303	25	8,9	222
scaffold7649	103013	103043	PY_TR0000304	4	7,8	30
scaffold7649	108580	108612	PY_TR0000305	17	2	32
scaffold7649	109044	111071	PY_TR0000306	48	42,6	2027
scaffold7649	112115	112363	PY_TR0000307	45	5,7	248
scaffold7649	112101	112363	PY_TR0000308	87	3	262
scaffold7649	112115	112369	PY_TR0000309	132	1,9	254
scaffold7649	113235	115198	PY_TR0000310	145	13,6	1963
scaffold7649	113253	115259	PY_TR0000311	434	4,6	2006
scaffold7649	123513	123807	PY_TR0000312	147	2	294
scaffold7649	134095	134259	PY_TR0000313	54	3	164
scaffold7649	134088	134256	PY_TR0000314	55	3,1	168
scaffold7649	137849	137885	PY_TR0000316	15	2,5	36
scaffold7649	137965	138033	PY_TR0000317	34	2	68
scaffold7649	139756	139798	PY_TR0000318	20	2,2	42
scaffold7649	143081	143493	PY_TR0000321	98	4,2	412
scaffold7649	145044	145303	PY_TR0000322	42	6,2	259
scaffold7649	145051	145296	PY_TR0000323	125	2	245
scaffold7649	146688	146752	PY_TR0000324	18	3,6	64
scaffold7649	152206	152251	PY_TR0000325	10	4,5	45
scaffold7649	152225	152253	PY_TR0000326	10	2,9	28
scaffold7649	152206	152346	PY_TR0000327	66	2,1	140
scaffold7649	157436	157460	PY_TR0000328	1	25	24
scaffold7649	161857	161939	PY_TR0000329	39	2,2	82
scaffold7649	161945	162093	PY_TR0000330	39	3,8	148
scaffold7649	162091	166646	PY_TR0000331	39	116,1	4555
scaffold7649	167006	167057	PY_TR0000332	2	26	51
scaffold7649	168661	168709	PY_TR0000333	22	2,2	48
scaffold7649	168925	169203	PY_TR0000334	42	6,6	278
scaffold7649	174588	174951	PY_TR0000335	60	6	363
scaffold7649	174599	174949	PY_TR0000336	186	1,9	350
scaffold7649	176894	177901	PY_TR0000337	24	40,4	1007
scaffold7649	176901	177024	PY_TR0000338	53	2,4	123
scaffold7649	177599	177658	PY_TR0000339	30	2	59
scaffold7649	177074	177819	PY_TR0000340	346	2,2	745
scaffold7649	177644	177819	PY_TR0000341	94	1,9	175
scaffold7649	178788	184648	PY_TR0000344	72	80,9	5860
scaffold7649	183061	184648	PY_TR0000345	24	65,9	1587
scaffold7649	192927	192972	PY_TR0000346	11	4,2	45
scaffold7649	192924	192982	PY_TR0000347	22	2,7	58
scaffold7649	193811	193858	PY_TR0000348	22	2,2	47
scaffold7649	195535	195589	PY_TR0000349	19	2,9	54
scaffold7649	195499	197785	PY_TR0000351	38	60,2	2286
scaffold7649	196255	196328	PY_TR0000352	20	3,9	73
scaffold7649	195499	197785	PY_TR0000353	58	40,1	2286
scaffold7649	196372	197592	PY_TR0000354	115	10,7	1220
scaffold7649	197628	197697	PY_TR0000355	33	2,1	69
scaffold7649	195545	197804	PY_TR0000356	19	118,8	2259
scaffold7649	199059	199108	PY_TR0000357	17	2,8	49
scaffold7649	200435	200641	PY_TR0000359	4	52	206
scaffold7649	200641	200692	PY_TR0000360	4	13	51
scaffold7649	203406	203437	PY_TR0000361	16	2	31
scaffold7649	206596	206629	PY_TR0000362	3	11,3	33
scaffold7649	209327	209421	PY_TR0000363	3	31,7	94
scaffold7649	211511	211568	PY_TR0000364	10	5,6	57
scaffold7649	211505	211568	PY_TR0000365	21	3	63
scaffold7649	211511	211584	PY_TR0000366	31	2,2	73
scaffold7649	211561	211642	PY_TR0000367	14	5,6	81
scaffold7649	211547	211642	PY_TR0000368	31	3,4	95
scaffold7649	211636	211708	PY_TR0000369	21	3,3	72
scaffold7649	211605	211738	PY_TR0000370	46	2,8	133
scaffold7649	211547	211698	PY_TR0000371	25	5,9	151
scaffold7649	213340	213430	PY_TR0000372	46	2	90
scaffold7649	214554	214588	PY_TR0000373	17	2,1	34
scaffold7649	215462	216000	PY_TR0000374	48	11	538
scaffold7649	215458	216000	PY_TR0000375	24	22,1	542
scaffold7649	215532	215559	PY_TR0000376	9	3,1	27
scaffold7649	215484	215664	PY_TR0000377	57	3,2	180
scaffold7649	215603	216000	PY_TR0000378	72	5,6	397
scaffold7649	215790	215826	PY_TR0000379	9	4,1	36
scaffold7649	219125	219656	PY_TR0000380	45	11,9	531
scaffold7649	222646	223550	PY_TR0000381	145	6,2	904
scaffold7649	224865	225001	PY_TR0000382	66	2,1	136
scaffold7649	228672	228841	PY_TR0000383	10	17	169
scaffold7649	228973	229117	PY_TR0000385	30	4,8	144
scaffold7649	228697	229343	PY_TR0000386	276	2,3	646
scaffold7649	229249	229343	PY_TR0000387	10	9,5	94
scaffold7649	229034	229460	PY_TR0000388	226	1,9	426
scaffold7649	233473	233581	PY_TR0000389	54	2	108
scaffold7649	233691	233859	PY_TR0000390	55	3,1	168
scaffold7649	237429	237464	PY_TR0000392	15	2,4	35
scaffold7649	237449	237630	PY_TR0000393	92	2	181
scaffold7649	237628	237706	PY_TR0000394	34	2,3	78
scaffold7649	242827	243146	PY_TR0000395	33	9,8	319
scaffold7649	242831	243146	PY_TR0000396	130	2,4	315
scaffold7649	245879	246175	PY_TR0000397	42	7,1	296
scaffold7649	246372	247843	PY_TR0000398	145	10	1471
scaffold7649	247899	247963	PY_TR0000399	18	3,6	64
scaffold7649	259315	259382	PY_TR0000402	25	2,6	67
scaffold7649	259318	259389	PY_TR0000403	34	2,1	71
scaffold7649	259315	259389	PY_TR0000404	10	7	74
scaffold7649	264952	272932	PY_TR0000406	39	204,9	7980
scaffold7649	266914	266938	PY_TR0000407	12	2,1	24
scaffold7649	269066	269130	PY_TR0000408	21	3,2	64
scaffold7649	271772	271836	PY_TR0000409	19	3,4	64
scaffold7650	782	952	PY_TR0000411	31	5,5	170
scaffold7650	782	952	PY_TR0000411	31	5,5	170
scaffold7651	3764	4359	PY_TR0000413	298	2	595
scaffold7652	2200	2864	PY_TR0000414	333	2	664
scaffold7653	892	951	PY_TR0000415	25	2,3	59
scaffold7653	892	951	PY_TR0000415	25	2,3	59
scaffold7653	5887	10070	PY_TR0000416	50	83,7	4183
scaffold7653	6588	6667	PY_TR0000417	39	2,1	79
scaffold7653	11419	11610	PY_TR0000418	54	3,6	191
scaffold7653	12077	12136	PY_TR0000419	29	2,1	59
scaffold7653	13588	13671	PY_TR0000420	3	27,7	83
scaffold7653	13755	13833	PY_TR0000421	3	26,7	78
scaffold7653	15308	16567	PY_TR0000422	74	17	1259
scaffold7653	17839	18949	PY_TR0000423	22	50,8	1110
scaffold7653	17842	18894	PY_TR0000424	174	6	1052
scaffold7653	23489	27084	PY_TR0000425	38	94,7	3595
scaffold7653	28162	28187	PY_TR0000426	12	2,2	25
scaffold7653	28859	29908	PY_TR0000427	44	23,6	1049
scaffold7653	37422	37478	PY_TR0000428	29	2	56
scaffold7653	40226	42127	PY_TR0000429	57	33,3	1901
scaffold7653	42111	42218	PY_TR0000430	28	3,9	107
scaffold7653	42121	42245	PY_TR0000431	56	2,2	124
scaffold7653	43202	43299	PY_TR0000432	45	2,2	97
scaffold7653	47908	47972	PY_TR0000435	23	2,8	64
scaffold7653	48026	48388	PY_TR0000436	156	2,3	362
scaffold7653	48450	48940	PY_TR0000437	268	1,8	490
scaffold7653	48800	49065	PY_TR0000438	134	2	265
scaffold7653	52666	53874	PY_TR0000439	41	29,5	1208
scaffold7653	53865	54133	PY_TR0000442	41	6,6	268
scaffold7653	53906	54133	PY_TR0000443	123	1,9	227
scaffold7653	57983	58069	PY_TR0000444	40	2,2	86
scaffold7653	58752	58823	PY_TR0000445	37	1,9	71
scaffold7653	61438	61748	PY_TR0000446	62	5	310
scaffold7653	61441	61736	PY_TR0000447	126	2,4	295
scaffold7653	62181	62428	PY_TR0000448	128	1,9	247
scaffold7653	67650	68066	PY_TR0000449	32	13,1	416
scaffold7653	68288	68767	PY_TR0000450	82	5,9	479
scaffold7653	69913	75252	PY_TR0000451	50	106,8	5339
scaffold7653	71478	71534	PY_TR0000452	28	2	56
scaffold7653	71430	71583	PY_TR0000453	78	2	153
scaffold7653	71378	71634	PY_TR0000454	128	2	256
scaffold7653	71339	71684	PY_TR0000455	178	1,9	345
scaffold7653	71992	72137	PY_TR0000456	73	2	145
scaffold7653	71946	72210	PY_TR0000457	123	2,2	264
scaffold7653	72165	72233	PY_TR0000458	23	3	68
scaffold7653	76685	76741	PY_TR0000459	23	2,5	56
scaffold7653	77879	77947	PY_TR0000460	21	3,2	68
scaffold7653	77934	78012	PY_TR0000461	23	3,4	78
scaffold7653	77864	78099	PY_TR0000462	22	10,7	235
scaffold7653	78456	78579	PY_TR0000463	43	2,9	123
scaffold7653	83236	83263	PY_TR0000464	2	14	27
scaffold7653	84926	89897	PY_TR0000467	156	32,3	4971
scaffold7653	86678	86753	PY_TR0000468	37	2,1	75
scaffold7653	86715	87167	PY_TR0000469	52	8,8	452
scaffold7653	87129	87203	PY_TR0000470	37	2	74
scaffold7653	87166	87557	PY_TR0000471	52	7,6	391
scaffold7653	87027	87306	PY_TR0000472	139	2	279
scaffold7653	87527	87601	PY_TR0000473	37	2	74
scaffold7653	87479	87654	PY_TR0000474	89	2	175
scaffold7653	87564	89897	PY_TR0000475	52	45,1	2333
scaffold7653	91741	95066	PY_TR0000476	35	95,1	3325
scaffold7653	97376	97884	PY_TR0000477	50	10,2	508
scaffold7653	97382	97884	PY_TR0000478	150	3,4	502
scaffold7653	98497	98529	PY_TR0000479	17	2	32
scaffold7653	100614	100933	PY_TR0000480	168	1,9	319
scaffold7653	102580	102641	PY_TR0000482	10	6,1	61
scaffold7653	104713	104841	PY_TR0000483	37	3,5	128
scaffold7653	104842	109321	PY_TR0000485	111	40,5	4479
scaffold7653	107158	109321	PY_TR0000486	37	58,5	2163
scaffold7653	107064	107234	PY_TR0000487	94	1,8	170
scaffold7653	107034	107280	PY_TR0000488	131	1,9	246
scaffold7653	104988	108846	PY_TR0000489	37	104,9	3858
scaffold7653	110178	110556	PY_TR0000490	49	7,7	378
scaffold7653	110558	110714	PY_TR0000491	37	4,2	156
scaffold7653	116306	116780	PY_TR0000493	100	4,7	474
scaffold7653	116702	116866	PY_TR0000494	86	1,9	164
scaffold7653	116790	117068	PY_TR0000495	51	5,5	278
scaffold7653	116306	118756	PY_TR0000496	288	8,3	2450
scaffold7653	116790	117054	PY_TR0000497	100	2,6	264
scaffold7653	116838	117095	PY_TR0000498	51	5,1	257
scaffold7653	116990	117154	PY_TR0000499	86	1,9	164
scaffold7653	117078	118756	PY_TR0000500	51	33,9	1678
scaffold7653	117374	118041	PY_TR0000501	98	6,6	667
scaffold7653	118058	118113	PY_TR0000502	29	1,9	55
scaffold7653	117130	118756	PY_TR0000503	196	8,2	1626
scaffold7653	119159	120562	PY_TR0000504	27	52,2	1403
scaffold7653	120215	120252	PY_TR0000505	19	2	37
scaffold7653	120216	120259	PY_TR0000506	19	2,3	43
scaffold7653	120727	120760	PY_TR0000507	2	17	33
scaffold7653	122767	122791	PY_TR0000508	12	2,1	24
scaffold7653	124544	124754	PY_TR0000509	111	1,9	210
scaffold7653	126499	128118	PY_TR0000510	58	27,8	1619
scaffold7653	126555	130194	PY_TR0000511	19	188,9	3639
scaffold7653	127486	127676	PY_TR0000512	39	4,9	190
scaffold7653	128026	128051	PY_TR0000513	11	2,4	25
scaffold7653	127968	128109	PY_TR0000514	69	2,1	141
scaffold7653	128120	128715	PY_TR0000515	58	10,3	595
scaffold7653	128370	128464	PY_TR0000516	30	3,2	94
scaffold7653	126499	130194	PY_TR0000517	174	21,4	3695
scaffold7653	128668	129216	PY_TR0000518	39	14,3	548
scaffold7653	128610	129100	PY_TR0000519	97	5,1	490
scaffold7653	128704	130194	PY_TR0000520	58	25,7	1490
scaffold7653	128562	128872	PY_TR0000521	151	2	310
